ABI,pval_01,BH_adj_pval,dm,low,high,Genes..0...uknown,David Input,Gene name,Notes,
203079,1e-04,0,0083,1,40,9,68,11,08,0,,,,
115895,0,0041,0,0092,0,75,9,42,10,17,0,,,,
199376,0,0051,0,0092,0,73,9,96,10,69,0,,,,
125726,0,0050,0,0092,-0,70,14,27,13,57,0,,,,
108672,0,0064,0,0093,-0,69,16,59,15,90,0,,,,
141631,0,0065,0,0093,-0,66,13,90,13,24,0,,,,
103239,0,0023,0,0092,-0,65,10,19,9,54,0,,,,
356563,0,0008,0,0083,0,65,9,86,10,51,0,,,,
703936,0,0043,0,0092,-0,65,10,86,10,21,0,,,,
180287,0,0075,0,0096,-0,63,9,79,9,16,0,,,,
231712,0,0029,0,0092,0,60,9,27,9,87,0,,,,
170508,0,0059,0,0093,-0,56,10,08,9,52,0,,,,
173479,0,0044,0,0092,0,55,9,22,9,77,0,,,,
166535,0,0048,0,0092,-0,53,10,00,9,46,0,,,,
237087,0,0057,0,0093,0,51,9,96,10,47,0,,,,
234861,0,0048,0,0092,0,51,9,18,9,69,0,,,,
163227,0,0081,0,0097,0,51,16,13,16,63,0,,,,
139881,0,0024,0,0092,0,50,13,57,14,08,0,,,,
125668,0,0030,0,0092,-0,49,10,06,9,57,0,,,,
132368,0,0028,0,0092,-0,49,10,26,9,77,0,,,,
202014,0,0067,0,0094,-0,49,10,81,10,32,0,,,,
125537,0,0084,0,0097,-0,49,10,53,10,05,0,,,,
128179,0,0064,0,0093,0,47,9,46,9,93,0,,,,
177660,0,0071,0,0095,0,47,9,37,9,84,0,,,,
240288,0,0021,0,0092,0,47,9,47,9,94,0,,,,
143456,0,0065,0,0093,-0,47,10,82,10,35,0,,,,
198356,0,0068,0,0095,0,47,11,41,11,87,0,,,,
545088,0,0073,0,0095,0,46,9,14,9,61,0,,,,
114538,0,0050,0,0092,0,46,9,61,10,07,0,,,,
174536,0,0006,0,0083,0,45,14,04,14,50,0,,,,
113154,0,0073,0,0095,-0,45,10,68,10,23,0,,,,
10409147,0,0086,0,0097,0,44,9,37,9,81,0,,,,
113939,0,0022,0,0092,-0,44,12,45,12,01,0,,,,
132702,0,0010,0,0083,0,44,13,84,14,28,0,,,,
145205,0,0076,0,0096,-0,44,10,25,9,81,0,,,,
156066,0,0010,0,0083,-0,43,13,79,13,36,0,,,,
234019,0,0096,0,0100,-0,43,10,64,10,21,0,,,,
353232,0,0012,0,0083,0,42,9,41,9,83,0,,,,
193647,0,0018,0,0087,0,42,14,63,15,05,0,,,,
220479,0,0028,0,0092,-0,42,12,08,11,66,0,,,,
216824,0,0098,0,0100,-0,40,11,79,11,38,0,,,,
151000,0,0013,0,0083,0,40,17,80,18,20,0,,,,
